"","num","list","type","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","cor_rate","prof"
"1","12.0","l1","na","rshift",2.46347674995195,1,70,"exp_g1",0.95,60
"2","139.0","l1","f0u","lshift",2.35730141692329,1,70,"exp_g1",0.95,60
"3","11.0","l1","na","lshift",2.59343570889905,1,70,"exp_g1",0.95,60
"4","133.0","l1","f0u","rshift",2.76571549999062,0,70,"exp_g1",0.95,60
"5","140.0","l1","f0u","rshift",3.36199387605302,1,70,"exp_g1",0.95,60
"6","13.0","l1","na","lshift",2.77993529196829,1,70,"exp_g1",0.95,60
"7","132.0","l1","f0u","rshift",2.33683262497652,1,70,"exp_g1",0.95,60
"8","16.0","l1","na","rshift",2.9631327498937,1,70,"exp_g1",0.95,60
"9","19.0","l1","na","lshift",2.82057829201221,1,70,"exp_g1",0.95,60
"10","17.0","l1","na","lshift",2.77056962496135,1,70,"exp_g1",0.95,60
"11","15.0","l1","na","lshift",2.18238775001373,1,70,"exp_g1",0.95,60
"12","137.0","l1","f0u","lshift",2.58804045792203,1,70,"exp_g1",0.95,60
"13","138.0","l1","f0u","rshift",2.43943745899014,1,70,"exp_g1",0.95,60
"14","131.0","l1","f0u","lshift",2.02875049994327,1,70,"exp_g1",0.95,60
"15","134.0","l1","f0u","rshift",2.46711895801127,1,70,"exp_g1",0.95,60
"16","135.0","l1","f0u","lshift",2.25198137492407,1,70,"exp_g1",0.95,60
"17","20.0","l1","na","rshift",2.57201258291025,1,70,"exp_g1",0.95,60
"18","136.0","l1","f0u","rshift",3.02122674987186,1,70,"exp_g1",0.95,60
"19","18.0","l1","na","rshift",2.89490670897067,1,70,"exp_g1",0.95,60
"20","14.0","l1","na","rshift",2.21079420892056,1,70,"exp_g1",0.95,60
